[11:00] Cook D is ready
[11:01] Cook D: Preparing order (Waiter W, Customer 3, Count 1)
[11:06] Cook D: Prepared order (Waiter W, Customer 3, Count 1)
[11:06] Cook D: Preparing order (Waiter X, Customer 4, Count 2)
[11:16] Cook D: Prepared order (Waiter X, Customer 4, Count 2)
[11:16] Cook D: Preparing order (Waiter Y, Customer 5, Count 2)
[11:26] Cook D: Prepared order (Waiter Y, Customer 5, Count 2)
[11:26] Cook D: Preparing order (Waiter V, Customer 7, Count 2)
[11:36] Cook D: Prepared order (Waiter V, Customer 7, Count 2)
[11:36] Cook D: Preparing order (Waiter W, Customer 8, Count 2)
[11:46] Cook D: Prepared order (Waiter W, Customer 8, Count 2)
[11:46] Cook D: Preparing order (Waiter U, Customer 16, Count 3)
[12:01] Cook D: Prepared order (Waiter U, Customer 16, Count 3)
[12:05] Cook D: Preparing order (Waiter Y, Customer 21, Count 2)
[12:15] Cook D: Prepared order (Waiter Y, Customer 21, Count 2)
[12:19] Cook D: Preparing order (Waiter V, Customer 25, Count 4)
[12:39] Cook D: Prepared order (Waiter V, Customer 25, Count 4)
[12:42] Cook D: Preparing order (Waiter V, Customer 30, Count 1)
[12:47] Cook D: Prepared order (Waiter V, Customer 30, Count 1)
[12:47] Cook D: Preparing order (Waiter W, Customer 31, Count 2)
[12:57] Cook D: Prepared order (Waiter W, Customer 31, Count 2)
[12:57] Cook D: Preparing order (Waiter X, Customer 32, Count 1)
[01:02] Cook D: Prepared order (Waiter X, Customer 32, Count 1)
[01:02] Cook D: Preparing order (Waiter Y, Customer 33, Count 1)
[01:07] Cook D: Prepared order (Waiter Y, Customer 33, Count 1)
[01:11] Cook D: Preparing order (Waiter V, Customer 35, Count 1)
[01:16] Cook D: Prepared order (Waiter V, Customer 35, Count 1)
[01:21] Cook D: Preparing order (Waiter X, Customer 37, Count 2)
[01:31] Cook D: Prepared order (Waiter X, Customer 37, Count 2)
[01:31] Cook D: Preparing order (Waiter U, Customer 39, Count 4)
[01:51] Cook D: Prepared order (Waiter U, Customer 39, Count 4)
[01:51] Cook D: Preparing order (Waiter X, Customer 42, Count 1)
[01:56] Cook D: Prepared order (Waiter X, Customer 42, Count 1)
[01:56] Cook D: Preparing order (Waiter U, Customer 44, Count 1)
[02:01] Cook D: Prepared order (Waiter U, Customer 44, Count 1)
[02:04] Cook D: Preparing order (Waiter W, Customer 46, Count 1)
[02:09] Cook D: Prepared order (Waiter W, Customer 46, Count 1)
[02:20] Cook D: Preparing order (Waiter Y, Customer 48, Count 2)
[02:30] Cook D: Prepared order (Waiter Y, Customer 48, Count 2)
[02:34] Cook D: Preparing order (Waiter V, Customer 50, Count 4)
[02:54] Cook D: Prepared order (Waiter V, Customer 50, Count 4)
[02:54] Cook D: Preparing order (Waiter Y, Customer 53, Count 1)
[02:59] Cook D: Prepared order (Waiter Y, Customer 53, Count 1)
[02:59] Cook D: Preparing order (Waiter U, Customer 54, Count 1)
[03:04] Cook D: Prepared order (Waiter U, Customer 54, Count 1)
[03:53] Cook D: Leaving
[11:00] Cook C is ready
[11:01] Cook C: Preparing order (Waiter U, Customer 1, Count 1)
[11:06] Cook C: Prepared order (Waiter U, Customer 1, Count 1)
[11:06] Cook C: Preparing order (Waiter V, Customer 2, Count 4)
[11:26] Cook C: Prepared order (Waiter V, Customer 2, Count 4)
[11:26] Cook C: Preparing order (Waiter U, Customer 6, Count 3)
[11:41] Cook C: Prepared order (Waiter U, Customer 6, Count 3)
[11:41] Cook C: Preparing order (Waiter X, Customer 9, Count 1)
[11:46] Cook C: Prepared order (Waiter X, Customer 9, Count 1)
[11:46] Cook C: Preparing order (Waiter Y, Customer 10, Count 1)
[11:51] Cook C: Prepared order (Waiter Y, Customer 10, Count 1)
[11:51] Cook C: Preparing order (Waiter V, Customer 17, Count 1)
[11:56] Cook C: Prepared order (Waiter V, Customer 17, Count 1)
[11:56] Cook C: Preparing order (Waiter W, Customer 18, Count 1)
[12:01] Cook C: Prepared order (Waiter W, Customer 18, Count 1)
[12:01] Cook C: Preparing order (Waiter X, Customer 20, Count 1)
[12:06] Cook C: Prepared order (Waiter X, Customer 20, Count 1)
[12:07] Cook C: Preparing order (Waiter U, Customer 22, Count 2)
[12:17] Cook C: Prepared order (Waiter U, Customer 22, Count 2)
[12:21] Cook C: Preparing order (Waiter W, Customer 26, Count 2)
[12:31] Cook C: Prepared order (Waiter W, Customer 26, Count 2)
[12:31] Cook C: Preparing order (Waiter X, Customer 27, Count 1)
[12:36] Cook C: Prepared order (Waiter X, Customer 27, Count 1)
[12:36] Cook C: Preparing order (Waiter Y, Customer 28, Count 2)
[12:46] Cook C: Prepared order (Waiter Y, Customer 28, Count 2)
[12:46] Cook C: Preparing order (Waiter U, Customer 29, Count 4)
[01:06] Cook C: Prepared order (Waiter U, Customer 29, Count 4)
[01:06] Cook C: Preparing order (Waiter U, Customer 34, Count 1)
[01:11] Cook C: Prepared order (Waiter U, Customer 34, Count 1)
[01:17] Cook C: Preparing order (Waiter W, Customer 36, Count 2)
[01:27] Cook C: Prepared order (Waiter W, Customer 36, Count 2)
[01:29] Cook C: Preparing order (Waiter Y, Customer 38, Count 2)
[01:39] Cook C: Prepared order (Waiter Y, Customer 38, Count 2)
[01:39] Cook C: Preparing order (Waiter V, Customer 40, Count 1)
[01:44] Cook C: Prepared order (Waiter V, Customer 40, Count 1)
[01:44] Cook C: Preparing order (Waiter W, Customer 41, Count 2)
[01:54] Cook C: Prepared order (Waiter W, Customer 41, Count 2)
[01:54] Cook C: Preparing order (Waiter Y, Customer 43, Count 1)
[01:59] Cook C: Prepared order (Waiter Y, Customer 43, Count 1)
[01:59] Cook C: Preparing order (Waiter V, Customer 45, Count 1)
[02:04] Cook C: Prepared order (Waiter V, Customer 45, Count 1)
[02:12] Cook C: Preparing order (Waiter X, Customer 47, Count 1)
[02:17] Cook C: Prepared order (Waiter X, Customer 47, Count 1)
[02:28] Cook C: Preparing order (Waiter U, Customer 49, Count 3)
[02:43] Cook C: Prepared order (Waiter U, Customer 49, Count 3)
[02:43] Cook C: Preparing order (Waiter W, Customer 51, Count 1)
[02:48] Cook C: Prepared order (Waiter W, Customer 51, Count 1)
[02:48] Cook C: Preparing order (Waiter X, Customer 52, Count 3)
[03:03] Cook C: Prepared order (Waiter X, Customer 52, Count 3)
[03:03] Cook C: Preparing order (Waiter V, Customer 55, Count 4)
[03:23] Cook C: Prepared order (Waiter V, Customer 55, Count 4)
[03:53] Cook C: Leaving
